,plant_id,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,operation_years,CAGR_netgen
508,57428,16511,54349,60610,50491,60594,53162,56987,51738,57717,59701,10,1.049048291
104,56112,70107,72991,70313,71124,73553,63387,68955,67870,58309,60080,10,-2.139656807
45,54979,67387,77283,85997,72854,69842,54863,36747,65121,73449,60644,10,-2.657963113
510,57430,16585,55718,62680,51328,61814,53086,60140,56858,57745,60714,10,0.958689146
581,57760,63951,57482,65995,50427,54521,58372,57341,57102,63049,60838,10,0.632466548
66,55741,74794,77923,76354,64652,79739,71153,67749,64623,71721,60859,10,-2.708872007
222,56575,52552,52398,46824,50585,58717,54184,46426,26365,51698,61315,10,1.761513591
390,57078,33373,42237,39527,37981,38311,34876,28205,26365,51698,61315,10,4.228374131
514,57444,17983,56631,62355,51309,62172,54107,59244,50458,60327,61349,10,0.893101594
392,57080,80869,83582,88833,87516,81446,90865,84972,74629,69499,61466,10,-3.357282695
171,56399,63662,69583,66642,68114,68965,64338,61638,66519,67678,61799,10,-1.30949608
135,56299,47985,55246,66929,63448,59276,63406,68727,46147,57209,62006,10,1.290874267
750,58833,,,,23579,65784,62522,68990,64351,68847,63419,7,-0.608361054
180,56434,59965,57909,61263,51242,56379,48173,61297,56106,62600,64325,10,1.174348011
582,57761,71169,63972,72527,57406,63878,64849,65358,65015,70303,66127,10,0.368807849
185,56441,62085,62870,65089,53270,62402,54469,65012,60455,65964,66230,10,0.580170174
666,58103,26718,79920,83392,82059,79808,79870,75432,73752,71613,67499,10,-1.85931251
417,57124,61857,61140,63921,51717,66766,56915,62994,61653,66836,67718,10,1.141866837
357,56960,85028,86950,89580,72216,85648,83593,80316,76793,86605,67746,10,-2.734881766
34,50754,65450,62709,55517,54537,65658,62262,64995,58543,62223,68348,10,0.961339505
543,57595,164750,181065,180216,170294,173382,183616,168849,156670,169073,68631,10,-10.21840571
46,55125,69380,63440,67562,62338,76522,63777,67548,57529,83624,68658,10,0.882124446
327,56859,76194,74381,75755,73621,72481,67288,62250,65489,66878,68679,10,-0.882274439
574,57748,42260,41878,39037.68,36650,39552,37147,38720,66410,77241,68976,10,5.701005642
110,56172,149247,143171,154742,144044,131197,129720,121051,116604,133105,69512,10,-7.714417367
468,57289,4596,111839,118739,129031.33,127057,120625,115319,104836,85200,69637,10,-5.127896272
38,52163,19584,25968,22336,17296,20601,16355,18824,16181,,70905.78,9,15.53392553
418,57125,34725,63157,66813,52909,69005,61237,66824,65322,69699,71031,10,1.314033095
112,56174,160805,145412,156516,142542,153551,153239,142405,131255,109904,71344,10,-7.606867926
827,59435,,,,72005,76448,73621,69674,69976,73104,71818,7,-1.035858152
71,55790,58567,68252,67944,67350,62451,44448,53873,79129,62122,73372,10,0.806968063
655,58045,1624,107297,109376,114562,119515,117291,112440,109664,71992,75322,10,-3.855149313
642,57999,4023,92715,101858,94853,97125,100626,99620,91716,79188,76671,10,-2.08905638
26,50281,74539,78855,69706,80645,88967,87582,91854,88707,85980,77280,10,-0.22392151
860,59953,,,,,,,,6040,80222,78054,3,-1.360505152
614,57887,40227,92081,94864,85670,92061,93903,91113,92644,83294,78258,10,-1.791072431
