,plant_id,2013,2014,2015,2016,2017,2018,2019,2020,2021,operation_years,CACR_uptime
160,56383,2518.325,2721.475,2615.6625,2558.1125,2431.0125,2178.75,1976.425,1747.2,1335.325,9,-8.515434693
161,56386,2741.447811,3090.20202,2945.387205,2840.740741,2780.37037,2431.885522,2247.777778,1644.680135,1346.936027,9,-9.859489741
162,56391,2332.85124,2416.969697,2512.506887,2296.618457,2358.491736,2078.085399,2214.979339,2318.326446,2063.57438,9,-1.956543177
163,56392,3067.035573,3565.711462,3257.667984,3312.766798,3349.604743,2901.956522,2903.537549,2598.992095,3594.683794,9,0.101206524
164,56394,3183.615137,3429.331723,2927.15781,2483.961353,3111.610306,2955.797101,2703.558776,2517.834138,2185.185185,9,-5.477577446
165,56395,2798.09,2876.28,2525.95,2700.24,2641.51,2464.51,2560.79,2421.3,2383.54,9,-2.321516049
166,56399,2899.291667,2776.75,2838.083333,2873.541667,2680.75,2568.25,2771.625,2819.916667,2574.958333,9,-0.93866461
167,56408,708.5714286,746.547619,742.2619048,701.3095238,2783.095238,2470.952381,1840,1571.428571,1667.619048,9,10.56811777
168,56413,2805.882353,3285.882353,3132.352941,3055.882353,2971.176471,2417.058824,2517.647059,1887.058824,2403.529412,9,-3.833307625
169,56414,317.3823529,,3017.647059,3010,2615.588235,2651.764706,2469.117647,2892.058824,2775.882353,8,-1.185894275
170,56415,2646.416667,,2943.148148,2764.814815,2542.777778,2576.851852,2483.148148,2745,2561.296296,8,-1.965657023
171,56416,2316.985507,2363.057971,2450.956522,2465.362319,2477.043478,2295.42029,2363.942029,2452.173913,2150.057971,9,-1.17382782
172,56424,3122.55814,3236.895854,3184.863498,3049.059656,2874.196158,2650.242669,2619.615774,2048.129424,273.7310415,9,-26.56562289
173,56432,4091.062112,4069.658385,3666.931677,4131.47205,3961.621118,4076.049689,2740.465839,3713.26087,4264.242236,9,0.58552546
174,56433,2029.207407,2098.259259,906.3111111,1048.955556,1896.948148,2113.281481,1909.8,1928.57037,1597.8,9,-3.348653547
175,56434,4289.555556,4538,3795.703704,2646.901408,2261.643192,2877.793427,2634.084507,2938.967136,3019.953052,9,-4.963165466
176,56435,2652.5,2831.25,2396.5,2607,2340.833333,2725.583333,2518.25,2764.166667,2921.416667,9,0.392648205
177,56437,2873.74359,3026.410256,2415.589744,2695.230769,2361.487179,2903.128205,2351.025641,3022.564103,3023.692308,9,-0.01123037
178,56439,2640.444444,2844.666667,2253.925926,2857.777778,2564.814815,2804.962963,2702.740741,2993.407407,3051.037037,9,0.879288841
179,56440,3077.904762,3363.904762,2668,2957.52381,2843.619048,3189.714286,3016.761905,3276.571429,3371.142857,9,0.026870895
180,56441,2993.809524,3099.47619,2536.666667,2971.52381,2593.761905,3095.809524,2878.809524,3141.142857,3153.809524,9,0.217460711
181,56442,2624.25,2732.25,2207.583333,2835.75,2534.666667,2709.583333,2558.833333,2844.166667,2860.583333,9,0.575400619
182,56443,2685.238095,2862.47619,2264.095238,2882.285714,2536.47619,2846,2753.904762,3011.047619,3084.952381,9,0.940005189
183,56446,2705.973684,2400.315789,2710.473684,2499.473684,2274.105263,2586.684211,2312.5,2243.868421,2689.842105,9,1.433707743
184,56448,3241.238095,3156.142857,3379.642857,3138.952381,3204.190476,3351.261905,3317.095238,3152.619048,2759.595238,9,-1.664327591
185,56449,3383.666667,3632.666667,3689.233333,3682.8,3010.9,3386.466667,2961.633333,3616.766667,3676.566667,9,0.15026714
186,56450,1917.1625,1833.1375,2295.3,2484.9625,2760.725,2439.7625,2528.475,2347.0125,1277.675,9,-4.412045226
