Plant Id,"Reported
Prime Mover",Plant State,Census Region,NERC Region,"Elec Fuel Consumption
MMBtu","Net Generation
(Megawatthours)",Plant Code,Sector Name,Utility Name,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Number of Turbines,turbine_capacity (KW),hub_height (m),rotor_diameter (m),rotor_swept area (m2),max_height (m),xlong,ylat,plant_id_x,operation_years_x,CAGR_netgen,plant_id_y,operation_years_y,CACR,plant_id,operation_years,CACR_uptime,uptime,efficiency,avg_tgen,avg_fuel,avg_tcap
10586,WT,CA,PACC,WECC,1518339,171680.0,10586,IPP Non-CHP,Terra-Gen Operating Co-Wind,59.6,59.6,59.6,114,700.0,45.0,44.0,1520.53,67.1,-118.309135375,35.079034375,10586,10,0.60153862,10586,10,-0.7556836082809659,10586,9,-0.333222023,2880.536912751678,0.11307092816558094,1505.9649122807018,13318.763157894737,0.5228070175438596
10718,WT,CA,PACC,WECC,269743,30500.0,10718,IPP Non-CHP,San Gorgonio Farms Inc,11.7,11.7,11.7,12,975.0,48.25,57.375,2549.11,75.71666666666667,-116.55904774999999,33.92097375,10718,10,0.723488656,10718,10,-0.755661518106765,10718,9,3.407125192,2606.837606837607,0.1130705894128856,2541.6666666666665,22478.583333333332,0.975
10823,WT,MA,NEW,NPCC,12994,1469.16,10823,Commercial CHP,Massachusetts Wtr Rauth-Deer I,1.2,1.2,1.2,2,600.0,34.5,47.0,1734.94,57.9,-70.956871,42.346472000000006,10823,9,-89.51755315,10823,9,,10823,8,-0.828597752,1224.3000000000002,0.11306449130367863,734.58,6497.0,0.6
50276,WT,CA,PACC,WECC,716,81.0,50276,IPP Non-CHP,Wintec Energy Ltd,5.9,5.9,5.9,60,142.91666666666666,60.0,47.0,1734.94,83.5,-116.562307125,33.913028708333336,50276,10,-39.64856794,50276,10,-0.7648927830121943,50276,9,-43.54506389,13.728813559322033,0.11312849162011174,1.35,11.933333333333334,0.09833333333333334
50281,WT,CA,PACC,WECC,683464,77280.0,50281,IPP Non-CHP,San Gorgonio Farms Inc,31.0,31.0,31.0,111,222.52293577981652,28.590476190476192,24.967924528301886,571.1098113207547,41.534285714285716,-116.61776770642201,33.92635466972477,50281,10,-0.22392151,50281,10,-0.7557238959147283,50281,9,1.297707995,2492.9032258064517,0.11307106153359943,696.2162162162163,6157.333333333333,0.27927927927927926
50533,WT,CA,PACC,WECC,1040913,117697.0,50533,IPP Non-CHP,"Painted Hills Wind Holdings, LLC",46.8,46.8,46.8,13,3000.0,,112.0,9852.03,,-116.62473453846154,33.93993984615385,50533,9,17.52761522,50533,9,-0.803425162304372,50533,8,5.986856715,2514.8931623931626,0.11307092907860695,9053.615384615385,80070.23076923077,3.5999999999999996
50536,WT,CA,PACC,WECC,369724,41805.0,50536,IPP Non-CHP,Sky River Wind LLC,60.2,60.2,60.2,21,2752.1739130434785,87.82608695652173,125.56521739130434,12393.859130434783,150.53478260869565,-118.24118860869565,35.24333630434783,50536,10,-14.01284823,50536,10,-0.7556991164048954,50536,9,-13.6076465,694.4352159468439,0.11307083121463578,1990.7142857142858,17605.904761904763,2.8666666666666667
50552,WT,CA,PACC,WECC,375632,42473.0,50552,IPP Non-CHP,Huntsman Wind,38.9,38.9,38.9,52,750.0,64.0,50.0,1963.5,89.0,-116.70949880392156,33.914365490196076,50552,10,-4.877069695,50552,10,-0.7557190685194004,50552,9,-3.303272956,1091.8508997429306,0.11307077139327852,816.7884615384615,7223.692307692308,0.7480769230769231
50553,WT,CA,PACC,WECC,226991,25666.0,50553,IPP Non-CHP,"Red Marlin Wind Ventures, LLC",20.0,20.0,20.0,8,2500.0,80.0,93.0,6792.91,126.5,-116.463762375,33.882781875,50553,10,-6.43183721,50553,10,-0.7557298956027969,50553,9,-7.193488565,1283.3,0.11307056226898864,3208.25,28373.875,2.5
50690,WT,CA,PACC,WECC,1174856,132842.0,50690,IPP Non-CHP,Terra-Gen Operating Co-Wind,43.4,43.4,43.4,62,700.0,50.0,47.096774193548384,1744.2951612903225,73.6032258064516,-116.57240406451612,33.898037419354836,50690,10,0.990001721,50690,10,-0.75570295878713,50690,9,2.257194573,3060.8755760368663,0.11307087847361719,2142.6129032258063,18949.290322580644,0.7
50754,WT,CA,PACC,WECC,604470,68348.0,50754,IPP Non-CHP,Terra-Gen Operating Co-Wind,34.5,34.5,34.5,81,656.0666666666667,55.73529411764706,48.85294117647059,1893.2973529411765,80.06470588235295,-118.36181097777778,35.0350266,50754,10,0.961339505,50754,10,-0.7557224954625408,50754,9,2.63310727,1981.1014492753623,0.11307095472066439,843.8024691358024,7462.592592592592,0.42592592592592593
50820,WT,CA,PACC,WECC,52613,5949.0,50820,IPP Non-CHP,Terra-Gen Operating Co-Wind,3.0,3.0,3.0,5,595.0,,,,,-116.54790942857143,33.89104557142857,50820,9,2.668184014,50820,9,-0.8039528321554745,50820,8,2.870973776,1983.0,0.11307091403265353,1189.8,10522.6,0.6
52162,WT,CA,PACC,WECC,473999,53595.63,52162,IPP Non-CHP,Wind Wall 1 LLC,21.3,21.3,21.3,6,90.0,,17.0,226.98,,-118.32735423076923,35.098194538461534,52162,9,15.57173562,52162,9,-0.8033744872528503,52162,8,14.98866522,2516.22676056338,0.11307118791389854,8932.605,78999.83333333333,3.5500000000000003
52163,WT,CA,PACC,WECC,627091,70905.78,52163,IPP Non-CHP,Wind Wall 1 LLC,25.2,25.2,25.2,7,90.0,,17.0,226.98,,-118.32402180555556,35.10049013888889,52163,9,15.53392553,52163,9,-0.8034623898903304,52163,8,19.34663629,2813.7214285714285,0.11307095780357236,10129.397142857142,89584.42857142857,3.6
54298,WT,CA,PACC,WECC,169663,19184.0,54298,IPP Non-CHP,Brookfield Renewable Trading and Marketing LP,7.5,7.5,7.5,5,1411.111111111111,62.5,72.0625,4170.4925,98.55,-118.33920988888889,35.06353777777778,54298,10,-3.561109934,54298,10,-0.7557812180415957,54298,9,-1.953632228,2557.866666666667,0.1130712058610304,3836.8,33932.6,1.5
54453,WT,CA,PACC,WECC,214802,24288.0,54453,IPP Non-CHP,"EDF Renewable Asset Holdings, Inc.",15.5,15.5,15.5,71,1500.0,80.0,77.0,4656.63,118.59999999999998,-121.83937333333334,38.140752166666665,54453,10,-3.51560609,54453,10,-0.7558477852252832,54453,9,-2.574205784,1566.967741935484,0.11307157289038278,342.0845070422535,3025.3802816901407,0.21830985915492956
54454,WT,CA,PACC,WECC,1619665,183137.0,54454,IPP Non-CHP,"FPL Energy Operating Services, Inc.",49.5,49.5,49.5,33,1500.0,65.0,77.0,4656.63,103.6,-116.58736006060606,33.918205575757575,54454,10,0.057743172,54454,10,-0.7557152585152327,54454,9,-0.163086168,3699.7373737373737,0.11307091281221734,5549.606060606061,49080.757575757576,1.5
54686,WT,CA,PACC,WECC,246934,27921.0,54686,IPP Non-CHP,Terra-Gen Operating Co-Wind,27.1,25.3,25.3,251,108.0,,,,,-118.2669794375,35.06036171590909,54686,9,-3.356442738,54686,9,-0.8034388035684237,54686,8,-2.799281543,1030.2952029520295,0.1130706990531883,111.2390438247012,983.800796812749,0.10796812749003985
54793,WT,IA,WNC,MRO,869798,98349.0,54793,IPP Non-CHP,Allete Clean Energy,113.9,105.7,105.7,140,750.0,65.0,50.0,1963.5,89.9,-95.32216797297298,42.71099549324324,54793,10,-8.401970623,54793,10,-0.7557333559618518,54793,9,-8.311185783,863.4679543459174,0.11307108087165066,702.4928571428571,6212.842857142857,0.8135714285714286
54909,WT,CA,PACC,WECC,431826,48827.0,54909,IPP Non-CHP,CalWind Resources Inc,21.9,21.9,21.9,188,660.0,50.0,47.0,1734.9399999999998,73.5,-118.29620641666666,35.11449833333333,54909,10,0.038988794,54909,10,-0.7557567382333596,54909,9,0.551297628,2229.543378995434,0.11307100545126972,259.718085106383,2296.946808510638,0.11648936170212765
54979,WT,TX,WSC,TRE,536334,60644.0,54979,IPP Non-CHP,Terra-Gen Operating Co-Wind,34.3,34.3,34.3,46,763.4782608695652,66.17391304347827,48.65217391304348,1881.5704347826088,90.5413043478261,-101.4021019347826,32.19247767391305,54979,10,-2.657963113,54979,10,-0.7557354990297527,54979,9,-4.272202405,1768.0466472303208,0.11307133241599451,1318.3478260869565,11659.434782608696,0.7456521739130434
55125,WT,OR,PACC,WECC,607210,68658.0,55125,IPP Non-CHP,ESI Vansycle Partners LP,25.0,25.0,25.0,38,660.0,50.0,47.0,1734.94,73.5,-118.64968631578947,45.93506807894737,55125,10,0.882124446,55125,10,-0.7557393680292734,55125,9,0.201351988,2746.32,0.11307126035473725,1806.7894736842106,15979.21052631579,0.6578947368421053
