Plant Code,Year,Nameplate Capacity (MW)
55803,2014,9.0
55803,2015,9.0
55803,2016,9.0
55803,2017,9.0
55803,2018,9.0
55803,2019,9.0
55803,2020,9.0
55803,2021,9.0
55804,2013,80.0
55804,2014,80.0
55804,2015,80.0
55804,2016,80.0
55804,2017,80.0
55804,2018,80.0
55804,2019,80.0
55804,2020,80.0
55804,2021,80.0
55805,2013,15.0
55805,2014,15.0
55805,2015,15.0
55805,2016,15.0
55805,2017,15.0
55805,2018,15.0
55805,2019,15.0
55805,2020,15.0
55805,2021,15.0
55809,2013,1.5
55809,2014,1.5
55809,2015,1.5
55809,2016,1.5
55809,2017,1.5
55809,2018,1.5
55809,2019,1.5
55809,2020,1.5
55809,2021,1.5
55816,2013,42.0
55816,2014,42.0
55816,2015,42.0
55816,2016,42.0
55816,2017,42.0
55816,2018,42.0
55816,2019,42.0
55816,2020,42.0
55816,2021,42.0
55871,2013,24.5
55871,2014,24.5
55871,2015,24.5
55871,2016,24.5
55871,2017,24.5
55871,2018,24.5
55871,2019,24.5
55871,2020,24.5
55871,2021,24.5
55944,2013,1.8
55944,2014,1.8
55944,2015,1.8
55944,2016,1.8
55944,2017,1.8
55944,2018,1.8
55944,2019,1.8
55944,2020,1.8
55944,2021,1.8
55968,2013,150.0
55968,2014,150.0
55968,2015,150.0
55968,2016,150.0
55968,2017,150.0
55968,2018,152.0
55968,2019,152.0
55968,2020,152.0
55968,2021,152.0
55980,2013,2.0
55980,2014,2.0
55980,2015,2.0
55980,2016,2.0
55980,2017,2.0
55980,2018,2.0
55980,2019,2.0
55980,2020,2.0
55980,2021,2.0
55981,2013,2.0
55981,2014,2.0
55981,2015,2.0
55981,2016,2.0
55981,2017,2.0
55981,2018,2.0
55981,2019,2.0
55981,2020,2.0
55981,2021,2.0
55986,2013,66.0
55986,2014,66.0
55986,2015,66.0
55986,2016,66.0
55986,2017,66.0
55986,2018,66.0
55986,2019,66.0
55986,2020,66.0
55986,2021,66.0
55989,2013,122.8
55989,2014,122.8
55989,2015,122.8
55989,2016,122.8
55989,2017,122.8
55989,2018,122.8
55989,2019,122.8
55989,2020,122.8
55989,2021,122.8
55992,2013,160.5
55992,2014,160.5
55992,2015,160.5
55992,2016,160.5
55992,2017,160.5
55992,2018,167.7
55992,2019,167.7
55992,2020,167.7
55992,2021,167.7
55995,2013,7.1
55995,2014,7.1
55995,2015,7.1
55995,2016,7.1
55995,2017,7.1
55995,2018,7.1
55995,2019,7.1
55995,2020,7.1
55995,2021,7.1
56001,2013,64.5
56001,2014,64.5
56001,2015,64.5
56001,2016,64.5
56001,2017,64.5
56001,2018,64.5
56001,2019,64.5
56001,2020,64.5
56001,2021,64.5
56002,2013,3.8
56002,2014,3.8
56002,2015,3.8
56002,2016,3.8
56002,2017,3.8
56002,2018,3.8
56002,2019,3.8
56002,2020,3.8
56002,2021,3.8
56010,2013,98.0
56010,2014,98.0
56010,2015,98.0
56010,2016,98.0
56010,2017,98.0
56010,2018,98.0
56010,2019,98.0
56010,2020,98.0
56010,2021,98.0
56011,2013,41.0
56011,2014,41.0
56011,2015,41.0
56011,2016,41.0
56011,2017,41.0
56011,2018,41.0
56011,2019,41.0
56011,2020,41.0
56011,2021,41.0
56012,2013,61.5
56012,2014,61.5
56012,2015,61.5
56012,2016,61.5
56012,2017,61.5
56012,2018,61.5
56012,2019,61.5
56012,2020,61.5
56012,2021,61.5
56052,2013,30.0
56052,2014,30.0
56052,2015,30.0
56052,2016,30.0
56052,2017,30.0
56052,2018,30.0
56052,2019,30.0
56052,2020,30.0
56052,2021,30.0
56054,2013,43.0
56054,2014,43.0
56054,2015,43.0
56054,2016,43.0
56054,2017,43.0
56054,2018,43.0
56054,2019,43.0
56054,2020,43.0
56054,2021,43.0
56075,2013,162.0
56075,2014,162.0
56075,2015,162.0
56075,2016,162.0
56075,2017,162.0
56075,2018,162.0
56075,2019,162.0
56075,2020,162.0
56075,2021,162.0
56081,2013,74.3
56081,2014,74.3
56081,2015,85.0
56081,2016,85.0
56081,2017,85.0
56081,2018,74.3
56081,2019,74.3
56081,2020,74.3
56081,2021,74.3
56092,2013,40.5
56092,2014,40.5
56092,2015,40.5
56092,2016,40.5
56092,2017,40.5
56092,2018,40.5
56092,2019,40.5
56092,2020,40.5
56092,2021,40.5
56093,2013,144.0
56093,2014,144.0
56093,2015,144.0
56093,2016,144.0
56093,2017,144.0
56093,2018,144.0
56093,2019,144.0
56093,2020,144.0
56093,2021,144.0
56094,2013,102.0
56094,2014,102.0
56094,2015,102.0
56094,2016,102.0
56094,2017,102.0
56094,2018,102.0
56094,2019,102.0
56094,2020,102.0
56094,2021,102.0
56097,2013,204.0
56097,2014,204.0
56097,2015,204.0
56097,2016,204.0
56097,2017,204.0
56097,2018,204.0
56097,2019,204.0
56097,2020,204.0
56097,2021,204.0
56099,2013,61.5
56099,2014,61.5
56099,2015,61.5
56099,2016,61.5
56099,2017,61.5
56099,2018,61.5
56099,2019,61.5
56099,2020,61.5
56099,2021,61.5
56106,2013,10.5
56106,2014,10.5
56106,2015,10.5
56106,2016,10.5
56106,2018,30.0
56106,2019,30.0
56106,2020,30.0
56106,2021,30.0
